objective,K,n_pairs,statistic,p_value,significant,mean_rank_JADE,mean_rank_LADE,mean_rank_LSHADE,mean_rank_SHADE,mean_rank_StandardDE
kapur,3,300,11.603960396037163,0.020552628829645998,True,3.02,2.92,3.02,3.0283333333333333,3.0116666666666667
kapur,5,300,32.89379900213802,1.2558002399045512e-06,True,3.328333333333333,3.0733333333333333,2.7716666666666665,2.7183333333333333,3.1083333333333334
kapur,7,300,63.62738964198836,5.006601498022532e-13,True,3.11,3.33,2.6,2.6433333333333335,3.316666666666667
kapur,9,300,257.5223932215111,1.5590773796031054e-54,True,3.1666666666666665,3.715,2.29,2.203333333333333,3.625
kapur,11,300,385.4075845575671,3.9531609328277737e-82,True,2.9,3.796666666666667,2.1466666666666665,2.1433333333333335,4.013333333333334
kapur,12,300,510.85998286203915,3.0000813194892097e-109,True,2.9,3.9833333333333334,1.9983333333333333,2.0216666666666665,4.096666666666667
otsu,3,300,65.33333333332438,2.1890064617026486e-13,True,2.965,3.14,2.965,2.965,2.965
otsu,5,300,1011.2510392192295,1.3011099146063987e-217,True,3.195,4.82,1.6133333333333333,1.6133333333333333,3.7583333333333333
otsu,7,300,1128.5020129529144,5.025078184048951e-243,True,3.013333333333333,4.575,1.51,1.4933333333333334,4.408333333333333
otsu,9,300,1125.1851851851848,2.6309146170800963e-242,True,3.0033333333333334,4.58,1.5,1.51,4.406666666666666
otsu,11,300,1126.8284373370414,1.1585419191664638e-242,True,3.0,4.541666666666667,1.51,1.49,4.458333333333333
otsu,12,300,1115.447513812154,3.3950571342641877e-240,True,2.986666666666667,4.58,1.5,1.5133333333333334,4.42
tsallis,3,300,38.27963525835328,9.811566520064636e-08,True,2.955,3.1666666666666665,2.966666666666667,2.9466666666666668,2.965
tsallis,5,300,8.80084745762711,0.06627474926783734,False,3.2316666666666665,2.9266666666666667,2.975,2.915,2.9516666666666667
tsallis,7,300,5.167628037056194,0.27052617586944455,False,2.973333333333333,2.8916666666666666,3.1266666666666665,3.0833333333333335,2.925
tsallis,9,300,33.79839553540305,8.196061857704869e-07,True,3.013333333333333,3.225,2.7283333333333335,2.7483333333333335,3.285
tsallis,11,300,68.72702284830746,4.213781299925112e-14,True,3.1,3.3933333333333335,2.605,2.611666666666667,3.29
tsallis,12,300,55.916738345088575,2.0874142586930186e-11,True,3.36,2.98,2.695,2.645,3.32
