objective,K,n_pairs,statistic,p_value,significant,mean_rank_JADE,mean_rank_LADE,mean_rank_LSHADE,mean_rank_SHADE,mean_rank_StandardDE
kapur,3,300,25.86138613860927,3.3747691970896816e-05,True,3.03,2.88,3.03,3.0383333333333336,3.0216666666666665
kapur,5,300,67.6865538735529,6.98506689378786e-14,True,3.3316666666666666,3.276666666666667,2.6133333333333333,2.6,3.1783333333333332
kapur,7,300,163.85679527285373,2.1759668222862184e-34,True,2.9566666666666666,3.62,2.42,2.46,3.5433333333333334
kapur,9,300,178.1960919937742,1.819389347111089e-37,True,2.8633333333333333,3.691666666666667,2.4066666666666667,2.48,3.558333333333333
kapur,11,300,293.45653287788184,2.7937474742181556e-62,True,2.9066666666666667,3.71,2.275,2.235,3.8733333333333335
kapur,12,300,288.52579263067645,3.232770585959301e-61,True,2.9166666666666665,3.8266666666666667,2.2483333333333335,2.2683333333333335,3.74
otsu,3,300,7.999999999992722,0.0915781944439375,False,2.986666666666667,3.0533333333333332,2.986666666666667,2.986666666666667,2.986666666666667
otsu,5,300,184.29018901890123,8.93416374186084e-39,True,2.955,3.8333333333333335,2.4433333333333334,2.4433333333333334,3.325
otsu,7,300,435.85996849291047,4.948979402718223e-93,True,2.6733333333333333,4.001666666666667,2.1566666666666667,2.183333333333333,3.985
otsu,9,300,798.4206848357785,1.6882605677329367e-171,True,2.8466666666666667,4.273333333333333,1.7933333333333332,1.77,4.316666666666666
otsu,11,300,894.0177298800626,3.294603855760051e-192,True,2.72,4.4383333333333335,1.7133333333333334,1.7733333333333334,4.355
otsu,12,300,981.8129099067995,3.118300788993227e-211,True,2.776666666666667,4.51,1.6866666666666668,1.6266666666666667,4.4
tsallis,3,300,0.26934097421218045,0.9917063853151323,False,3.0016666666666665,2.99,3.006666666666667,2.993333333333333,3.0083333333333333
tsallis,5,300,49.45614963825594,4.689654497746052e-10,True,3.1416666666666666,3.39,2.6966666666666668,2.6633333333333336,3.1083333333333334
tsallis,7,300,104.26359028141937,1.2156359308720646e-21,True,2.8833333333333333,3.445,2.6133333333333333,2.546666666666667,3.5116666666666667
tsallis,9,300,148.26369026857316,4.794825203830288e-31,True,2.91,3.575,2.4683333333333333,2.495,3.5516666666666667
tsallis,11,300,244.76275554028535,8.743645921307524e-52,True,2.7733333333333334,3.763333333333333,2.348333333333333,2.381666666666667,3.7333333333333334
tsallis,12,300,316.434887321521,3.08338619792379e-67,True,2.8233333333333333,3.74,2.315,2.195,3.9266666666666667
