objective,K,n_pairs,statistic,p_value,significant,mean_rank_JADE,mean_rank_LADE,mean_rank_LSHADE,mean_rank_SHADE,mean_rank_StandardDE
kapur,3,300,11.603960396037163,0.020552628829645998,True,3.02,2.92,3.02,3.0283333333333333,3.0116666666666667
kapur,5,300,31.581834372216687,2.328982480113135e-06,True,3.3216666666666668,3.0733333333333333,2.776666666666667,2.723333333333333,3.105
kapur,7,300,63.62738964198836,5.006601498022532e-13,True,3.11,3.33,2.6,2.6433333333333335,3.316666666666667
kapur,9,300,259.685976136953,5.329141129067144e-55,True,3.1666666666666665,3.715,2.28,2.2066666666666666,3.631666666666667
kapur,11,300,386.99982920580703,1.7904997066277705e-82,True,2.8933333333333335,3.8,2.1483333333333334,2.1416666666666666,4.016666666666667
kapur,12,300,511.4056555269919,2.2861438193638157e-109,True,2.91,3.9833333333333334,1.9883333333333333,2.025,4.093333333333334
otsu,3,300,128.00000000000293,1.0424770788551101e-26,True,2.9466666666666668,3.2133333333333334,2.9466666666666668,2.9466666666666668,2.9466666666666668
otsu,5,300,1040.1317731773172,7.163872864123087e-224,True,3.2616666666666667,4.823333333333333,1.5766666666666667,1.5766666666666667,3.7616666666666667
otsu,7,300,1127.0470855942583,1.0387642606162405e-242,True,3.0166666666666666,4.568333333333333,1.5066666666666666,1.4966666666666666,4.411666666666667
otsu,9,300,1125.0426275331938,2.8249308731702585e-242,True,3.0033333333333334,4.576666666666667,1.5,1.51,4.41
otsu,11,300,1126.8784981748647,1.1299531548138228e-242,True,3.0,4.545,1.5033333333333334,1.4966666666666666,4.455
otsu,12,300,1115.5733517431825,3.1883840782080994e-240,True,2.986666666666667,4.59,1.5266666666666666,1.4866666666666666,4.41
tsallis,3,300,36.08595988538177,2.778230557585028e-07,True,2.955,3.1666666666666665,2.966666666666667,2.9466666666666668,2.965
tsallis,5,300,8.086818422445655,0.08844919788232089,False,3.2216666666666667,2.9266666666666667,2.98,2.92,2.9516666666666667
tsallis,7,300,5.167628037056194,0.27052617586944455,False,2.973333333333333,2.8916666666666666,3.1266666666666665,3.0833333333333335,2.925
tsallis,9,300,33.79839553540305,8.196061857704869e-07,True,3.013333333333333,3.225,2.7283333333333335,2.7483333333333335,3.285
tsallis,11,300,68.72702284830746,4.213781299925112e-14,True,3.1,3.3933333333333335,2.605,2.611666666666667,3.29
tsallis,12,300,55.916738345088575,2.0874142586930186e-11,True,3.36,2.98,2.695,2.645,3.32
