algorithm,image,objective,K,seed,best_thresholds,fitness,psnr,ssim,uniformity,time_sec,fes_used
StandardDE,img1.png,otsu,3,0,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31439004209823906,10000
StandardDE,img1.png,otsu,3,1,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.30937937507405877,10000
StandardDE,img1.png,otsu,3,2,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3077324579935521,10000
StandardDE,img1.png,otsu,3,3,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3112323749810457,10000
StandardDE,img1.png,otsu,3,4,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31397141702473164,10000
StandardDE,img1.png,otsu,3,5,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.33799087489023805,10000
StandardDE,img1.png,otsu,3,6,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.32064341683872044,10000
StandardDE,img1.png,otsu,3,7,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.314122665906325,10000
StandardDE,img1.png,otsu,3,8,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.32298962492495775,10000
StandardDE,img1.png,otsu,3,9,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31983404187485576,10000
StandardDE,img1.png,otsu,3,10,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3158156250137836,10000
StandardDE,img1.png,otsu,3,11,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3130887500010431,10000
StandardDE,img1.png,otsu,3,12,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3175722910091281,10000
StandardDE,img1.png,otsu,3,13,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3125032919924706,10000
StandardDE,img1.png,otsu,3,14,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.30903412494808435,10000
StandardDE,img1.png,otsu,3,15,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31173933297395706,10000
StandardDE,img1.png,otsu,3,16,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.30829783296212554,10000
StandardDE,img1.png,otsu,3,17,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.30792933283373713,10000
StandardDE,img1.png,otsu,3,18,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31237779185175896,10000
StandardDE,img1.png,otsu,3,19,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.30807791696861386,10000
StandardDE,img1.png,otsu,3,20,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31111637502908707,10000
StandardDE,img1.png,otsu,3,21,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3096853750757873,10000
StandardDE,img1.png,otsu,3,22,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3136670000385493,10000
StandardDE,img1.png,otsu,3,23,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31168462499044836,10000
StandardDE,img1.png,otsu,3,24,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3108429170679301,10000
StandardDE,img1.png,otsu,3,25,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31401291699148715,10000
StandardDE,img1.png,otsu,3,26,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.30981125007383525,10000
StandardDE,img1.png,otsu,3,27,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.31127266702242196,10000
StandardDE,img1.png,otsu,3,28,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3130721668712795,10000
StandardDE,img1.png,otsu,3,29,76;140;214,4303.95506884482,23.74932004875676,0.7603033372778,0.9915666954161229,0.3127547090407461,10000
StandardDE,img1.png,otsu,5,0,48;80;119;164;221,4469.728597320609,27.776632838083636,0.851766019701467,0.9966654583065739,0.37043666606768966,10000
StandardDE,img1.png,otsu,5,1,44;75;121;165;224,4465.915174122558,27.625926945640927,0.8562645282142577,0.9965481673200902,0.37219000002369285,10000
StandardDE,img1.png,otsu,5,2,48;80;120;164;219,4469.739880156752,27.77678139999008,0.851826770829557,0.9966658053372895,0.36786862509325147,10000
StandardDE,img1.png,otsu,5,3,49;81;117;163;226,4468.565250733416,27.730252311892304,0.8501169789685609,0.9966296767890901,0.36616020812653005,10000
StandardDE,img1.png,otsu,5,4,54;85;121;163;222,4466.575085044354,27.64917698135344,0.8366652975935696,0.9965684644649359,0.3680507498793304,10000
StandardDE,img1.png,otsu,5,5,47;81;126;160;224,4464.084480591524,27.55546548011673,0.8504284159941553,0.9964918599450487,0.3693194161169231,10000
StandardDE,img1.png,otsu,5,6,53;81;122;166;228,4466.304463309462,27.643213023284172,0.8419498685879817,0.9965601408437167,0.3703758749179542,10000
StandardDE,img1.png,otsu,5,7,47;76;120;160;219,4467.508318516966,27.686239734573434,0.8557186712094101,0.9965971683010793,0.3662117919884622,10000
StandardDE,img1.png,otsu,5,8,48;80;118;161;220,4469.611683008143,27.772828515167607,0.8519849526660339,0.9966618623261828,0.3671420000027865,10000
