algorithm,K,time_mean,time_std,fes_used_mean,n_runs
JADE,3,0.4103184816313701,0.012149767892819033,10000.0,900
JADE,5,0.47626563865743166,0.01719242922371806,10000.0,900
JADE,7,0.5443601603648212,0.02414872979059202,10000.0,900
JADE,9,0.610560754400471,0.03103565388828827,10000.0,900
JADE,11,0.6784257481601607,0.04195803499864056,10000.0,900
JADE,12,0.7104827098222449,0.04198629505310158,10000.0,900
LADE,3,0.33259926244435417,0.011541679620521923,10000.0,900
LADE,5,0.39860460685359106,0.01765362507236506,10000.0,900
LADE,7,0.464000636248125,0.023944871667771112,10000.0,900
LADE,9,0.5290929003178866,0.03014124938433526,10000.0,900
LADE,11,0.5936721742287692,0.03745146925961286,10000.0,900
LADE,12,0.6286237294614936,0.054220776464873874,10000.0,900
LSHADE,3,0.6584841240784671,0.03451825591242377,9879.0,900
LSHADE,5,0.7701070817937661,0.03523037285681805,9879.0,900
LSHADE,7,0.888342041194232,0.09002432327231041,9879.0,900
LSHADE,9,0.9952919871230713,0.05969154738845153,9879.0,900
LSHADE,11,1.1033445448374066,0.06494305554817748,9879.0,900
LSHADE,12,1.1644441496257463,0.09604759318071754,9879.0,900
SHADE,3,0.6000340330768894,0.12349397255144805,10000.0,900
SHADE,5,0.7104450461920351,0.154210858669125,10000.0,900
SHADE,7,0.8358741629584175,0.2641316565351699,10000.0,900
SHADE,9,0.9260977231051463,0.1939527751909143,10000.0,900
SHADE,11,1.0275843676094276,0.1973318011620116,10000.0,900
SHADE,12,1.0772374485575387,0.2050162719070334,10000.0,900
StandardDE,3,0.33222894990739105,0.013208131683694384,10000.0,900
StandardDE,5,0.4010970941799072,0.0387093341820881,10000.0,900
StandardDE,7,0.46373338961068333,0.024154670646370436,10000.0,900
StandardDE,9,0.5290760838090338,0.032443024513973386,10000.0,900
StandardDE,11,0.5942941115796566,0.03814372673076669,10000.0,900
StandardDE,12,0.6253126317780051,0.03981032205769439,10000.0,900
