objective,K,algo_a,algo_b,n_pairs,statistic,p_value,significant,better
kapur,3,JADE,LADE,300,472.5,0.23602780071029483,False,LADE
kapur,3,JADE,LSHADE,300,1.5,1.0,False,LSHADE
kapur,3,JADE,SHADE,300,0.0,0.31731050786291415,False,JADE
kapur,3,JADE,StandardDE,300,2.0,0.5637028616507731,False,StandardDE
kapur,3,LADE,LSHADE,300,472.5,0.23602780071029483,False,LADE
kapur,3,LADE,SHADE,300,425.0,0.14119299130246454,False,LADE
kapur,3,LADE,StandardDE,300,472.0,0.3301301649654358,False,LADE
kapur,3,LSHADE,SHADE,300,0.0,0.31731050786291415,False,LSHADE
kapur,3,LSHADE,StandardDE,300,2.0,0.5637028616507731,False,StandardDE
kapur,3,SHADE,StandardDE,300,0.0,0.15729920705028505,False,StandardDE
kapur,5,JADE,LADE,300,19634.0,0.05049132344867502,False,LADE
kapur,5,JADE,LSHADE,300,14650.0,4.454030444557501e-06,True,LSHADE
kapur,5,JADE,SHADE,300,14446.0,2.2344009084824484e-06,True,SHADE
kapur,5,JADE,StandardDE,300,19868.0,0.08746213627320702,False,StandardDE
kapur,5,LADE,LSHADE,300,22053.0,0.728491936478888,False,LSHADE
kapur,5,LADE,SHADE,300,21031.0,0.3045302991973273,False,SHADE
kapur,5,LADE,StandardDE,300,22178.0,0.7917747242234459,False,LADE
kapur,5,LSHADE,SHADE,300,51.5,0.22769852228339016,False,SHADE
kapur,5,LSHADE,StandardDE,300,17646.0,0.3140412315473021,False,LSHADE
kapur,5,SHADE,StandardDE,300,16981.0,0.130904029915223,False,SHADE
kapur,7,JADE,LADE,300,21963.0,0.6840207060143308,False,LADE
kapur,7,JADE,LSHADE,300,17994.0,0.0023161098791031585,True,LSHADE
kapur,7,JADE,SHADE,300,18147.0,0.0032333123418272175,True,SHADE
kapur,7,JADE,StandardDE,300,22260.0,0.8340763711417168,False,StandardDE
kapur,7,LADE,LSHADE,300,15840.0,7.506222498876154e-06,True,LSHADE
kapur,7,LADE,SHADE,300,16855.0,0.00014247880139655597,True,SHADE
kapur,7,LADE,StandardDE,300,22277.0,0.8429110359403513,False,StandardDE
kapur,7,LSHADE,SHADE,300,607.5,0.24428209014584934,False,LSHADE
