objective,K,algo_a,algo_b,n_pairs,statistic,p_value,significant,better
kapur,3,JADE,LADE,300,476.5,0.25265027963629905,False,LADE
kapur,3,JADE,LSHADE,300,1.5,1.0,False,LSHADE
kapur,3,JADE,SHADE,300,0.0,0.31731050786291415,False,JADE
kapur,3,JADE,StandardDE,300,2.0,0.5637028616507731,False,StandardDE
kapur,3,LADE,LSHADE,300,476.5,0.25265027963629905,False,LADE
kapur,3,LADE,SHADE,300,429.0,0.15299803772786055,False,LADE
kapur,3,LADE,StandardDE,300,476.0,0.35158963428801104,False,LADE
kapur,3,LSHADE,SHADE,300,0.0,0.31731050786291415,False,LSHADE
kapur,3,LSHADE,StandardDE,300,2.0,0.5637028616507731,False,StandardDE
kapur,3,SHADE,StandardDE,300,0.0,0.15729920705028505,False,StandardDE
kapur,5,JADE,LADE,300,19968.0,0.08297728541251648,False,LADE
kapur,5,JADE,LSHADE,300,14100.0,4.477830115121908e-07,True,LSHADE
kapur,5,JADE,SHADE,300,13868.0,1.907965982883894e-07,True,SHADE
kapur,5,JADE,StandardDE,300,20297.0,0.15496160553539287,False,StandardDE
kapur,5,LADE,LSHADE,300,21797.0,0.6048955160325595,False,LSHADE
kapur,5,LADE,SHADE,300,20892.0,0.2630538096206507,False,SHADE
kapur,5,LADE,StandardDE,300,22281.0,0.844992700481644,False,LADE
kapur,5,LSHADE,SHADE,300,51.5,0.22769852228339016,False,SHADE
kapur,5,LSHADE,StandardDE,300,16926.0,0.12061161613762257,False,LSHADE
kapur,5,SHADE,StandardDE,300,16362.0,0.04776340393091144,True,SHADE
kapur,7,JADE,LADE,300,22309.0,0.8595938771732041,False,JADE
kapur,7,JADE,LSHADE,300,17795.0,0.001479264197503409,True,LSHADE
kapur,7,JADE,SHADE,300,18128.0,0.0031037167153928564,True,SHADE
kapur,7,JADE,StandardDE,300,22364.0,0.8884103821125603,False,StandardDE
kapur,7,LADE,LSHADE,300,17046.0,0.00023616950364617066,True,LSHADE
kapur,7,LADE,SHADE,300,17648.0,0.0010511101860320913,True,SHADE
kapur,7,LADE,StandardDE,300,22349.0,0.8805350402115925,False,StandardDE
kapur,7,LSHADE,SHADE,300,559.5,0.11448718053255008,False,LSHADE
kapur,7,LSHADE,StandardDE,300,17540.0,0.0008130979925426138,True,LSHADE
kapur,7,SHADE,StandardDE,300,18105.0,0.0029531824039225932,True,SHADE
kapur,9,JADE,LADE,300,18181.0,0.0034775885496277966,True,LADE
kapur,9,JADE,LSHADE,300,11862.0,1.0469302909715018e-12,True,LSHADE
kapur,9,JADE,SHADE,300,10819.0,5.37581084696464e-15,True,SHADE
kapur,9,JADE,StandardDE,300,18750.0,0.010970352668355264,True,StandardDE
kapur,9,LADE,LSHADE,300,11504.0,1.808175167818964e-13,True,LSHADE
kapur,9,LADE,SHADE,300,9903.0,3.548350721806981e-17,True,SHADE
kapur,9,LADE,StandardDE,300,21598.0,0.7212532674457268,False,StandardDE
kapur,9,LSHADE,SHADE,300,1589.0,0.22488102076478778,False,LSHADE
kapur,9,LSHADE,StandardDE,300,11721.0,5.277416179582558e-13,True,LSHADE
kapur,9,SHADE,StandardDE,300,10699.0,2.8434291811623513e-15,True,SHADE
kapur,11,JADE,LADE,300,13611.0,2.5054662317018435e-09,True,LADE
kapur,11,JADE,LSHADE,300,13130.0,3.364748062890058e-10,True,LSHADE
kapur,11,JADE,SHADE,300,12810.0,8.371573069634261e-11,True,SHADE
kapur,11,JADE,StandardDE,300,11230.0,4.5411397066019107e-14,True,StandardDE
kapur,11,LADE,LSHADE,300,9222.0,6.6978535506837835e-19,True,LSHADE
kapur,11,LADE,SHADE,300,9248.0,7.823036888838692e-19,True,SHADE
kapur,11,LADE,StandardDE,300,20120.0,0.10255614653830293,False,LADE
kapur,11,LSHADE,SHADE,300,5948.0,0.8623843929017592,False,SHADE
kapur,11,LSHADE,StandardDE,300,9724.0,1.274596214494624e-17,True,LSHADE
kapur,11,SHADE,StandardDE,300,9923.0,3.974946434483434e-17,True,SHADE
kapur,12,JADE,LADE,300,10734.0,3.4260944772690353e-15,True,LADE
kapur,12,JADE,LSHADE,300,9048.0,2.3512867224295633e-19,True,LSHADE
kapur,12,JADE,SHADE,300,9976.0,5.36564783692335e-17,True,SHADE
kapur,12,JADE,StandardDE,300,8936.0,1.1902267353426398e-19,True,JADE
kapur,12,LADE,LSHADE,300,5117.0,3.6813405476712995e-31,True,LSHADE
kapur,12,LADE,SHADE,300,5915.0,1.58682103871423e-28,True,SHADE
kapur,12,LADE,StandardDE,300,22305.0,0.8575049310604783,False,LADE
kapur,12,LSHADE,SHADE,300,4255.0,0.4617467541101449,False,LSHADE
kapur,12,LSHADE,StandardDE,300,3504.0,7.412567483357104e-37,True,LSHADE
kapur,12,SHADE,StandardDE,300,4073.0,8.629227446509282e-35,True,SHADE
otsu,5,JADE,LADE,300,4.0,6.332503125761853e-51,True,JADE
otsu,5,JADE,LSHADE,300,0.0,4.000075857852181e-50,True,LSHADE
otsu,5,JADE,SHADE,300,0.0,4.000075857852181e-50,True,SHADE
otsu,5,JADE,StandardDE,300,5652.0,9.832713302461184e-29,True,JADE
otsu,5,LADE,LSHADE,300,0.0,6.083559849691439e-51,True,LSHADE
otsu,5,LADE,SHADE,300,0.0,6.083559849691439e-51,True,SHADE
otsu,5,LADE,StandardDE,300,4854.0,4.6895837145891667e-32,True,StandardDE
otsu,5,LSHADE,StandardDE,300,0.0,3.1118108788194266e-44,True,LSHADE
otsu,5,SHADE,StandardDE,300,0.0,3.1118108788194266e-44,True,SHADE
otsu,7,JADE,LADE,300,4.0,6.332503125761853e-51,True,JADE
otsu,7,JADE,LSHADE,300,0.0,6.083559849691439e-51,True,LSHADE
otsu,7,JADE,SHADE,300,2.0,6.206788993966389e-51,True,SHADE
otsu,7,JADE,StandardDE,300,13.0,6.930329583327363e-51,True,JADE
otsu,7,LADE,LSHADE,300,0.0,6.083559849691439e-51,True,LSHADE
otsu,7,LADE,SHADE,300,0.0,6.083559849691439e-51,True,SHADE
otsu,7,LADE,StandardDE,300,17992.0,0.003049127963865956,True,StandardDE
otsu,7,LSHADE,SHADE,300,39.5,0.4080219533560777,False,SHADE
otsu,7,LSHADE,StandardDE,300,0.0,6.083559849691439e-51,True,LSHADE
