algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
JADE,kapur,3,23.905592759032338,3.2525134851774142,0.6552726861606739,0.2905404005213885,0.9884460214160404,0.0125193809722744,0.7688525237960534,0.18620465919912582,450
JADE,kapur,5,29.512732710547738,1.0738974683268938,0.916389565564388,0.02545649126013099,0.9976902992025732,0.0006243987483284261,0.8989539375016465,0.1511909595854083,450
JADE,kapur,7,32.49033592189428,0.8845939026429752,0.944464479749205,0.015839862538502496,0.99885071441994,0.00022759915538387245,1.0354365184949712,0.16042177754748516,450
JADE,kapur,9,34.439591301431314,0.9386404527772101,0.9588216507207494,0.012906007235697348,0.9992647167962044,0.00015592851882645898,1.1962221702555609,0.22434715199916996,450
JADE,kapur,11,36.07345605761321,0.8640995412760607,0.9686819855896422,0.010391998545545204,0.9994973170555781,9.810840719453706e-05,1.3000975889960924,0.12086310143591478,450
JADE,kapur,12,36.72297483737847,0.8929464182903786,0.9720183262394511,0.009585742635063567,0.9995666791335768,8.836516685633516e-05,1.3675469990628255,0.2684992625228412,450
JADE,otsu,3,27.878245486759955,0.8904443662510988,0.8606596331586054,0.05376013987419315,0.9966758346871306,0.0006648701775530112,0.6977613061283612,0.09611780260874525,450
JADE,otsu,5,31.392471341964043,0.8976770695482813,0.9298916625066334,0.03418934311034063,0.9985215350800154,0.00029160295687258607,0.8176402763810215,0.11993022226193717,450
JADE,otsu,7,33.827335697447005,0.9496611158023164,0.9577644466490058,0.012483189912238998,0.9991543642115436,0.0001728287020292772,0.9151949004761668,0.0954309790265326,450
JADE,otsu,9,35.66695106672655,0.9450548332270836,0.9688567820413875,0.009970629325137694,0.9994466150546268,0.00011273309420063558,1.0520635010193413,0.2018827207898076,450
JADE,otsu,11,37.121031387835394,0.9460932447596878,0.9759034920387195,0.007856235013428381,0.9996043057431094,8.02264528627709e-05,1.1277067461025176,0.11473116028553473,450
JADE,otsu,12,37.75941512141286,0.9626508658547247,0.9786431599416067,0.007241144439804026,0.9996582392678086,7.036031810425048e-05,1.2384149591800653,0.37875846016402226,450
JADE,tsallis,3,19.217804543516507,1.6512724795186369,0.2675063099718708,0.035350682918098154,0.9741393900876194,0.010972440759718578,0.7474715123051363,0.07756971828918667,450
JADE,tsallis,5,21.631695343825644,1.1246148377201182,0.33753390161941543,0.04461937447719822,0.9857974875212274,0.0037149030216991575,0.8627352092482357,0.08676867722048864,450
JADE,tsallis,7,23.300158902376047,1.3178925496469076,0.392824056144396,0.058994820929364714,0.9902029307003632,0.0030521158215831277,1.0108853085897862,0.27943671593149566,450
